StudyID,Study..Authors.,PublicationYear,StudyLabel,Title,Status,Country,Comparison.within.study,ComparisonID,Outcome.battery,Subscale.subtest,Type.of.test,Diagnostic.Status,CG.status,Pre.TG.Mean,Pre.TG.sd,Pre.TG.N,Pre.CG.Mean,Pre.CG.sd,Pre.CG.N,Post.TG.Mean,Post.TG.sd,Post.TG.N,Post.CG.Mean,Post.CG.sd,Post.CG.N,Cohen.d,OutcomeType,OutcomeDetail,Reliability,outcomeSign,Time,InterventionType,InterventionType.Detail.1,InterventionType.Detail.2,Setting,Design,Session.duration,N.of.sessions,N.of.weeks,M.Age..months.,Age.Range,M.Age.TG,M.Age.CG,Estimated.mean.age,Age.group,M.IQ.TG,M.IQ.CG,ClaimTitleAbstract,Statistical.inference,Post.hoc,critical.threshold,explicit.alpha,pvalue.correction,Effect.size.reported,Nxgroup,EffectSize,Vi
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,2.5,2.55,10,2,2.46,10,3.9,2.12,10,2.1,2.49,10,,Pseudoword,IrregularPseudowords,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.496953922,0.090442586
11,Flaugnacco,2015,Flaugnacco et al. (2015),Music training increases phonological awareness and reading skills in developmental dyslexia: A randomized control trial,Published,Italian,Music vs Control,13,MT DDE-2,"word, pseudowords, text",standardized,Clinical assessment,Control,3.6,2.6,22,4.1,3,24,2.42,2.2,22,2.89,2.6,24,,Pseudoword,DDE2Meanofzscoreofseconds,,Negativo,pre-post,Music training,Music training,Music training,Group,randomized,60,60,30,,,120,120,120,Child,IQ > 85,IQ > 85,Effective,Non-parametric comparison on gains,,p < 0.05,no,no,percentage poor readers,23,-0.010470084,0.035268281
11,Flaugnacco,2015,Flaugnacco et al. (2015),Music training increases phonological awareness and reading skills in developmental dyslexia: A randomized control trial,Published,Italian,Music vs Control,13,MT DDE-2,"word, pseudowords, text",standardized,Clinical assessment,Control,-1.83,0.62,22,-2.15,0.84,24,-1.68,0.61,22,-1.88,0.81,24,,Text,MTTextreadingSpeed,,Positivo,pre-post,Music training,Music training,Music training,Group,randomized,60,60,30,,,120,120,120,Child,IQ > 85,IQ > 85,Effective,Non-parametric comparison on gains,,p < 0.05,no,no,percentage poor readers,23,-0.15870263,0.035569418
11,Flaugnacco,2015,Flaugnacco et al. (2015),Music training increases phonological awareness and reading skills in developmental dyslexia: A randomized control trial,Published,Italian,Music vs Control,13,MT DDE-2,"word, pseudowords, text",standardized,Clinical assessment,Control,5.6,4.4,22,6.2,5.5,24,3.38,2.9,22,4.18,4.7,24,,Word,DDE-2WordreadingzScore,,Negativo,pre-post,Music training,Music training,Music training,Group,randomized,60,60,30,,,120,120,120,Child,IQ > 85,IQ > 85,Effective,Non-parametric comparison on gains,,p < 0.05,no,no,percentage poor readers,23,0.039273071,0.035285486
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,113.5,39,10,161.8,83.5,10,99.8,30.4,10,149.7,78,10,,Pseudoword,Clinicalpseudo-words(speed,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,0.023515195,0.082572709
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,0.69,0.11,10,0.71,0.11,10,0.69,0.09,10,0.68,0.15,10,,Pseudoword,Clinicalpseudo-words(accuracy,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,-0.261203585,0.0847341
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,35.5,9.5,10,47.6,20.8,10,30.4,8.5,10,45.8,17.6,10,,Pseudoword,Experimentalpseudo-wordslist(speed,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,0.195467399,0.083775324
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,0.65,0.14,10,0.7,0.13,10,0.67,0.15,10,0.61,0.21,10,,Pseudoword,Experimentalpseudo-wordslist(accuracy,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,-0.779851326,0.101978786
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,82.5,22.2,10,114.4,39.9,10,71,13.4,10,117.5,59.4,10,,Pseudoword,Experimentalpseudo-wordstext(speed,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,0.433092847,0.088545661
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,0.78,0.13,10,0.78,0.12,10,0.79,0.13,10,0.75,0.13,10,,Pseudoword,Experimentalpseudo-wordstext(accuracy,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,-0.306233984,0.08555018
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,229.4,126.5,10,216.6,79,10,184.5,80.6,10,214.7,95.2,10,,Text,Experimentalwordstext(speed,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,0.39051246,0.087425609
12,Franceschini,2013,Franceschini et al. (2013),Action video games make dyslexic children read better,Published,Italian,Action video games vs Non-action videogames,14,,"words, pseudowords, word text reading",standardized,Clinical assessment,Non action videogames,0.93,0.08,10,0.93,0.04,10,0.95,0.05,10,0.95,0.04,10,,Text,Experimentalwordstext(accuracy,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,121.43,114.72,118.075,Child,100.6,98.4,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,10,0,0.082555049
13,Franceschini,2017a,Franceschini et al. (2017a),Action video games improve reading abilities and visual-to-auditory attentional shifting in English-speaking children with dyslexia,Published,Italian,Action video games vs Non-action videogames,15,The Sight Words task,words and texts,standardized,Clinical assessment,Non action videogames,88,54,16,97,55,12,74,51,16,103,52,12,,Word,WordReadingTime,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,117.8,130.9,123.4142857,Child,Average IQ,Average IQ,Effective,ANOVAs interaction adjusted by pre-test,pairwise t-test various,p < 0.05,no,no,"eta square, Cohen d",14,0.35677284,0.062258378
13,Franceschini,2017a,Franceschini et al. (2017a),Action video games improve reading abilities and visual-to-auditory attentional shifting in English-speaking children with dyslexia,Published,Italian,Action video games vs Non-action videogames,15,The Sight Words task,words and texts,standardized,Clinical assessment,Non action videogames,13,6,16,10,6,12,12,7,16,10,7,12,,Word,WordReadingErrors,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,117.8,130.9,123.4142857,Child,Average IQ,Average IQ,Effective,ANOVAs interaction adjusted by pre-test,pairwise t-test various,p < 0.05,no,no,"eta square, Cohen d",14,0.161812298,0.060120484
13,Franceschini,2017a,Franceschini et al. (2017a),Action video games improve reading abilities and visual-to-auditory attentional shifting in English-speaking children with dyslexia,Published,Italian,Action video games vs Non-action videogames,15,The Sight Words task,words and texts,standardized,Clinical assessment,Non action videogames,86,35,16,79,36,12,69,40,16,82,41,12,,Pseudoword,PhonologicalDecondingTime,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,117.8,130.9,123.4142857,Child,Average IQ,Average IQ,Effective,ANOVAs interaction adjusted by pre-test,pairwise t-test various,p < 0.05,no,no,"eta square, Cohen d",14,0.548105618,0.065919372
13,Franceschini,2017a,Franceschini et al. (2017a),Action video games improve reading abilities and visual-to-auditory attentional shifting in English-speaking children with dyslexia,Published,Italian,Action video games vs Non-action videogames,15,The Sight Words task,words and texts,standardized,Clinical assessment,Non action videogames,16,6,16,16,6,12,16,7,16,17,6,12,,Pseudoword,PhonologicalDecondingErrors,,Negativo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,80,9,2,,,117.8,130.9,123.4142857,Child,Average IQ,Average IQ,Effective,ANOVAs interaction adjusted by pre-test,pairwise t-test various,p < 0.05,no,no,"eta square, Cohen d",14,0.161812298,0.060120484
14,Franceschini,2017b,Franceschini et al. (2017b),A different vision of dyslexia: Local precedence on global perception,Published,Italian,Action video games vs Non-action videogames,16,,"word, pseudowords text",unstandardized,Clinical assessment,Control,1.59,0.41,7,1.29,0.73,7,1.86,0.49,7,1.37,0.65,7,,Mixed,"words text, pseudowords lists and pseudowords texts together",,Positivo,pre-post,Neuropsychological,video games,AVG,Computer,randomized,,,,121.68,,,,121.68,Child,,,Effective,ANOVAs by group,no,p < 0.05,no,no,"eta square, descriptives",7,0.300444604,0.124860597
14,Franceschini,2017b,Franceschini et al. (2017b),A different vision of dyslexia: Local precedence on global perception,Published,Italian,Action video games vs Non-action videogames,16,,"word, pseudowords text",unstandardized,Clinical assessment,Control,4.84,2.99,7,7.02,4.68,7,4.21,3.09,7,6.99,3.42,7,,Mixed,"words text, pseudowords lists and pseudowords texts together",,Negativo,pre-post,Neuropsychological,video games,AVG,Computer,randomized,,,,121.68,,,,121.68,Child,,,Effective,ANOVAs by group,no,p < 0.05,no,no,"eta square, descriptives",7,0.143036304,0.121251713
15,Frijters,2013,Frijters et al. (2013),Four methods of identifying change in the context of a multiple component reading intervention for struggling middle school readers,Published,Canada,PHAST vs Control,17,Woodcock-Johnson,"Letter Word Identification, Word attack, Passage Comprehension",standardized,Assessed by the authors,Control,76.87,11.18,228,75.69,12.38,42,84.25,11.27,228,78.26,11.46,42,,Word,WJ-IIILetterWordIdentification,.80-.90,Positivo,pre-post,Phonics instruction,phonics instruction,phonological and strategy-based reading instruction,Group,randomized,,125,,149.04,,,,149.04,Child,FSIQ > 80,FSIQ > 80,No claim,Different methodologies,,,,,Cohen d,135,0.42179172,0.011634309
15,Frijters,2013,Frijters et al. (2013),Four methods of identifying change in the context of a multiple component reading intervention for struggling middle school readers,Published,Canada,PHAST vs Control,17,Woodcock-Johnson,"Letter Word Identification, Word attack, Passage Comprehension",standardized,Assessed by the authors,Control,82.43,8.38,228,82.1,8.01,42,88.98,7.28,228,83.74,7.55,42,,Pseudoword,WJ-IIIWordAttack,.80-.91,Positivo,pre-post,Phonics instruction,phonics instruction,phonological and strategy-based reading instruction,Group,randomized,,125,,149.04,,,,149.04,Child,FSIQ > 80,FSIQ > 80,No claim,Different methodologies,,,,,Cohen d,135,0.588175792,0.011950622
15,Frijters,2013,Frijters et al. (2013),Four methods of identifying change in the context of a multiple component reading intervention for struggling middle school readers,Published,Canada,PHAST vs Control,17,Woodcock-Johnson,"Letter Word Identification, Word attack, Passage Comprehension",standardized,Assessed by the authors,Control,78.42,11.42,228,76.38,12.56,42,85.95,11.12,228,80.12,12.79,42,,Comprehension,WJ-IIIPassageComprehension,.80-.92,Positivo,pre-post,Phonics instruction,phonics instruction,phonological and strategy-based reading instruction,Group,randomized,,125,,149.04,,,,149.04,Child,FSIQ > 80,FSIQ > 80,No claim,Different methodologies,,,,,Cohen d,135,0.325762243,0.011499181
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,92.62,6.98,23,94.34,4.51,21,97.55,2.91,22,94.68,4.02,20,,Word,WordReadAccHighFrequency,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.5272727,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",22,0.759682105,0.044178496
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,84.59,15.31,23,86.41,12.86,21,93.42,7.9,22,91.27,8.69,20,,Word,WordReadAccLowFrequency,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.5272727,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",22,0.274629285,0.03784996
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,73.03,16.13,23,69.88,17.14,21,81.82,14.23,22,71.76,18.35,20,,Pseudoword,WordReadAccPseudowordsd,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.5272727,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",22,0.408329482,0.039001793
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,31.04,5.35,23,32,5.88,21,37.36,6.56,22,32.85,5.66,20,,Word,WordReadFluencyHighFrequency,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.5272727,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",22,0.957762569,0.04846978
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,32.09,6.3,23,31.43,5.64,21,36.55,6.13,22,30.25,5.02,20,,Word,WordReadFluencyLowFrequency,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.5272727,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",22,0.92391705,0.047666421
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,31.13,5.63,23,29.81,6.36,21,33.91,6.63,22,28.25,5.36,20,,Pseudoword,WordReadFluencyPseudowords,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.5272727,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",22,0.71167643,0.043287504
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,3.65,1.87,23,3.76,2,21,4.09,2.41,23,3.2,1.94,18,,Word,One-MinutTestfluency[SS]c,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.5272727,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",22,0.508038405,0.040154362
16,González,2015,González et al. (2015),A Randomized Controlled Trial on The Beneficial Effects of Training Letter-Speech Sound Integration on Reading Fluency in Children with Dyslexia,Published,Netherlands.,Training program vs Waiting list,18,3DM battery,"contains word reading, phonological awareness, naming speed and letter-speech sound association tasks",standardized,Clinical assessment,waiting list,33.83,6.06,23,33.11,5.82,19,35.04,6.68,22,33.1,5.51,19,,Text,TextReading—fluency[T]1,.73-.95,Positivo,pre-post,Phonics instruction,phonics instruction,computer-assisted training program,Computer,randomized,45,46,23,,,105.84,107.28,106.4914286,Child,7.48 raw scores,6.80 Raven,Effective,ANOVAs covarying pre-test,pairwise t-test various,p < 0.05 one tailed,no,no,"eta square, Cohen d",21,0.201065249,0.03949169
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 2,19,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,19.75,7.93,12,21.73,9.93,11,25.67,9.44,12,25.55,10.36,11,,Word,WordreadingaSLRT-II,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2391304,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,11.5,0.226450328,0.072940182
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 2,19,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,19.25,3.7,12,17.09,17.09,11,21.5,5.23,12,20.36,4.99,11,,Pseudoword,PseudowordreadingaSLRT-II,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2391304,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,11.5,-0.081294777,0.071742619
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 2,19,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,36.02,19.42,12,26.6,13.07,11,44.88,18.37,12,37.98,20.18,11,,Word,Wordreadinglist1a,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2391304,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,11.5,-0.145443314,0.072132547
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 2,19,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,16.25,9.8,12,14.89,9.98,11,25.58,15.35,12,20.13,12.03,11,,Word,Wordreadinglist2a,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2391304,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,11.5,0.3987578,0.075828216
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 2,19,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,4.58,2.61,12,3.91,1.58,11,5.67,2.93,12,3.73,2.9,11,,Comprehension,ReadingcomprehensionbVSL,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2391304,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,11.5,0.561240267,0.080009893
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 3,20,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,29.85,8.05,13,31.86,7.88,14,36.46,10.88,13,35.79,10.04,14,,Word,WordreadingaSLRT-II,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2592593,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,13.5,0.326396707,0.06300294
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 3,20,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,22.85,7.11,13,21.36,4.97,14,24.62,5.24,13,24.07,7.13,14,,Pseudoword,PseudowordreadingaSLRT-II,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2592593,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,13.5,-0.149630966,0.061145136
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 3,20,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,50.2,20.32,13,51.59,15.01,14,57.69,16.81,13,64.78,21.59,14,,Word,Wordreadinglist1a,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2592593,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,13.5,-0.31125406,0.062789756
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 3,20,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,26.74,12.82,13,31.49,16.74,14,41.12,19.09,13,35.71,16.52,14,,Word,Wordreadinglist2a,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2592593,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,13.5,0.657381708,0.070192048
17,Görgen,2020,Görgen et al. (2020),Evaluation of a digital game-based reading training for German children with reading disorder,Published,Germany,Game based vs Controls Grade 3,20,,SLRT-II; (VSL;,standardized,Assessed by the authors,Active,8.92,4.61,13,7.79,1.72,14,11.62,6.05,13,11.07,5.57,14,,Comprehension,ReadingcomprehensionbVSL,.78-.88,Positivo,pre-post,Mixed,mixed,"Meister Cody-Namagi is an adaptive multi-component digital game-based reading ... Targeting phonological awareness, phoneme-grapheme correspondence and word reading skills",Computer,randomized,28,25,8.8,,,102,102.5,102.2592593,Child,Nonverbal IQ > 85,Nonverbal IQ > 85,Inconsistent_Other,ANOVAs interaction,no,,no,no,partial eta square,13.5,-0.164150241,0.061245723
18,Gori,2016,Gori et al. (2016),Multiple causal links between magnocellular-dorsal pathway deficit and developmental dyslexia,Published,Italian,Magnocellular-dorsal  training vs Control,21,,,standardized,Assessed by the authors,Control,,,6,,,6,,,6,,,6,1.374,Text,Word text reading speed,,Positivo,pre-post,Neuropsychological,Visual attention training,MD Percepual Learning Training,Computer,randomized,450,,,264,,,,264,Adult,,,Effective,Paired t-test by group,,p < 0.05,no,no,no,6,1.374,0.264891337
18,Gori,2016,Gori et al. (2016),Multiple causal links between magnocellular-dorsal pathway deficit and developmental dyslexia,Published,Italian,Magnocellular-dorsal  training vs Control,21,,,standardized,Assessed by the authors,Control,,,6,,,6,,,6,,,6,1.469,Text,Word text reading accuracy,,Positivo,pre-post,Neuropsychological,Visual attention training,MD Percepual Learning Training,Computer,randomized,450,,,264,,,,264,Adult,,,Effective,Paired t-test by group,,p < 0.05,no,no,no,6,1.469,0.282470834
19,Heth,2015,Heth and Lavidor (2015),Improved reading measures in adults with dyslexia following transcranial direct current stimulation treatment,Published,Israel,tDCS vs Sham,22,,text,standardized,Clinical assessment,Control,99,16.2,10,97.9,14.8,9,105.2,16.8,10,100,15.4,9,,Text,Text word per minute (speed),,Positivo,pre-post,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,20,5,2,,,326.4,294,311.0526316,Adult,Vocabulary & Block design Matched IQ,Vocabulary & Block design Matched IQ,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,no,9.5,0.251748312,0.089487087
